SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
473155L|Clos des Grillons 'La Cote' 2023||2023|750ml|47.00|2|https://www.magazzinonyc.com/s/shop?query=Clos%20des%20Grillons%20'La%20Cote'%202023||Inc.tax|R|Next day||
8318376|Clos des Grillons 'Oeillet' 2024||2024|750ml|55.00|0|https://www.magazzinonyc.com/s/shop?query=Clos%20des%20Grillons%20'Oeillet'%202024||Inc.tax|R|Next day||
N274255|J.C. Garnier 'Gamay' 2023||2023|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=J.C.%20Garnier%20'Gamay'%202023||Inc.tax|R|Next day||
G670729|Fabio Ferracane 'Guanciabianca' 2023||2023|750ml|32.00|10|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'Guanciabianca'%202023||Inc.tax|R|Next day||
D893549|Terre di Pietra 'Testa Calda' 2020||2020|750ml|25.00|8|https://www.magazzinonyc.com/s/shop?query=Terre%20di%20Pietra%20'Testa%20Calda'%202020||Inc.tax|R|Next day||
967616R|Etnella 'Kaos 5.0 Bianco Macerato 2023||2023|750ml|55.00|6|https://www.magazzinonyc.com/s/shop?query=Etnella%20'Kaos%205.0%20Bianco%20Macerato%202023||Inc.tax|R|Next day||
722249Y|La Torretta 'Castagna' 2021||2021|750ml|26.00|0|https://www.magazzinonyc.com/s/shop?query=La%20Torretta%20'Castagna'%202021||Inc.tax|R|Next day||
9988697|Hervé Villemade 'Desire' 2020 Magnum||2020|1.5L Magnum|120.00|3|https://www.magazzinonyc.com/s/shop?query=Herv%C3%A9%20Villemade%20'Desire'%202020%20Magnum||Inc.tax|R|Next day||
K190859|La Vinoterie 'Patience' 2024||2024|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=La%20Vinoterie%20'Patience'%202024||Inc.tax|R|Next day||
J177642|Selvadolce 'Crescendo' 2023||2023|750ml|55.00|0|https://www.magazzinonyc.com/s/shop?query=Selvadolce%20'Crescendo'%202023||Inc.tax|R|Next day||
